Nr.;#;Company;Location_HQ;Country;Continent;Laid_Off;Date_layoffs;Percentage;Company_Size_before_Layoffs;Company_Size_after_layoffs;Industry;Stage;Money_Raised_in_$_mil;Year;lat;lng
137;499;Convoy;Seattle;USA;North America;30.0;2023-06-26;5.0;600.0;570.0;Logistics;Series E;$1100;2023;47.60621;-122.33207
138;504;Uber;San Francisco Bay Area;USA;North America;200.0;2023-06-21;0.9961647656522389;20077.0;19877.0;Transportation;Post-IPO;$25200;2023;37.77493;-122.41942
139;506;Ritual;Toronto;Canada;North America;38.0;2023-06-21;40.0;95.0;57.0;Food;Series C;$134;2023;43.70643;-79.39864
140;510;Grab;Singapore;Singapore;Asia;1000.0;2023-06-20;11.0;9091.0;8091.0;Transportation;Post-IPO;$16500;2023;1.28967;103.85007
141;514;Chingari;Bengaluru;India;Asia;48.0;2023-06-19;20.0;240.0;192.0;Media;Unknown;$88;2023;12.97194;77.59369
142;517;Mojocare;Bengaluru;India;Asia;170.0;2023-06-17;80.0;213.0;43.0;Healthcare;Series A;$24;2023;12.97194;77.59369
143;520;Pilot;San Francisco Bay Area;USA;North America;45.0;2023-06-16;13.0;346.0;301.0;Finance;Unknown;$116;2023;37.77493;-122.41942
144;523;CareRev;Los Angeles;USA;North America;100.0;2023-06-15;33.0;303.0;203.0;Healthcare;Series A;$51;2023;34.05223;-118.24368
145;527;FrontRow;Bengaluru;India;Asia;39.0;2023-06-15;90.0;43.0;4.0;Education;Series A;$17;2023;12.97194;77.59369
146;528;Bitwise;Fresno;USA;North America;900.0;2023-06-14;100.0;900.0;0.0;Crypto;Series B;$84;2023;36.74773;-119.77237
147;529;Sonos;New York City;USA;North America;130.0;2023-06-14;7.0;1857.0;1727.0;Consumer;Post-IPO;$455;2023;40.71427;-74.00597
148;530;TrueCar;Los Angeles;USA;North America;102.0;2023-06-14;24.0;425.0;323.0;Transportation;Post-IPO;$340;2023;34.05223;-118.24368
149;531;Olo;New York City;USA;North America;81.0;2023-06-14;11.0;736.0;655.0;Food;Post-IPO;$184;2023;40.71427;-74.00597
150;537;Grubhub;San Francisco Bay Area;USA;North America;400.0;2023-06-12;15.0;2667.0;2267.0;Food;Acquired;$284;2023;37.77493;-122.41942
151;538;GoCardless;London;United Kingdom;Europe;150.0;2023-06-12;17.0;882.0;732.0;Finance;Series G;$529;2023;51.50853;-0.12574
152;539;Pendo;Raleigh;USA;North America;100.0;2023-06-12;12.0;833.0;733.0;Product;Series F;$469;2023;35.7721;-78.63861
153;540;Chegg;San Francisco Bay Area;USA;North America;80.0;2023-06-12;4.0;2000.0;1920.0;Education;Post-IPO;$227;2023;37.35411;-121.95524
154;542;TaxBit;San Francisco Bay Area;USA;North America;80.0;2023-06-11;40.0;200.0;120.0;Crypto;Unknown;$253;2023;37.77493;-122.41942
155;544;Trybe;Sao Paulo;Brazil;South America;128.0;2023-06-09;35.0;366.0;238.0;Education;Series B;$40;2023;-23.5475;-46.63611
156;545;23andMe;San Francisco Bay Area;USA;North America;75.0;2023-06-09;9.0;833.0;758.0;Healthcare;Post-IPO;$1100;2023;37.77493;-122.41942
157;546;Expel;Washington DC;USA;North America;60.0;2023-06-09;10.0;600.0;540.0;Security;Series E;$288;2023;38.89511;-77.03637
158;548;Cityblock Health;New York City;USA;North America;155.0;2023-06-08;12.0;1292.0;1137.0;Healthcare;Series D;$891;2023;40.71427;-74.00597
159;549;Highspot;Seattle;USA;North America;140.0;2023-06-08;15.0;933.0;793.0;Sales;Series F;$644;2023;47.60621;-122.33207
160;561;Edgio;Phoenix;USA;North America;134.0;2023-06-06;12.0;1117.0;983.0;Infrastructure;Post-IPO;$462;2023;33.44838;-112.07404
161;562;Reddit;San Francisco Bay Area;USA;North America;90.0;2023-06-06;5.0;1800.0;1710.0;Consumer;Series F;$1300;2023;37.77493;-122.41942
162;563;Linktree;Melbourne;Australia;Australia;60.0;2023-06-06;27.0;222.0;162.0;Consumer;Unknown;$165;2023;-37.814;144.96332
163;564;Dragos;Baltimore;USA;North America;50.0;2023-06-06;9.0;556.0;506.0;Security;Series D;$364;2023;39.29038;-76.61219
164;568;Spotify;Stockholm;Sweden;Europe;200.0;2023-06-05;2.0;9400.0;9200.0;Media;Post-IPO;$2100;2023;59.32938;18.06871
165;572;ZoomInfo;Vancouver;Canada;North America;120.0;2023-06-02;3.0;4000.0;3880.0;Sales;Post-IPO;$7;2023;49.24966;-123.11934
166;578;Outbrain;New York City;USA;North America;90.0;2023-06-01;10.0;900.0;810.0;Marketing;Post-IPO;$394;2023;40.71427;-74.00597
167;584;Zendesk;San Francisco Bay Area;USA;North America;320.0;2023-05-31;8.0;4000.0;3680.0;Support;Acquired;$85;2023;37.77493;-122.41942
168;585;ZipRecruiter;Los Angeles;USA;North America;270.0;2023-05-31;20.0;1350.0;1080.0;Recruiting;Post-IPO;$769;2023;34.05223;-118.24368
169;586;Vendr;Boston;USA;North America;100.0;2023-05-31;25.0;400.0;300.0;Other;Series B;$216;2023;42.35843;-71.05977
170;588;Mux;San Francisco Bay Area;USA;North America;40.0;2023-05-31;30.0;133.0;93.0;Infrastructure;Series D;$173;2023;37.77493;-122.41942
171;589;Away;New York City;USA;North America;22.0;2023-05-31;8.0;275.0;253.0;Retail;Series D;$181;2023;40.71427;-74.00597
172;590;Taxfix;Berlin;Germany;Europe;120.0;2023-05-30;20.0;600.0;480.0;Finance;Series D;$330;2023;52.52437;13.41053
173;595;Evolve;Denver;USA;North America;164.0;2023-05-29;14.0;1171.0;1007.0;Travel;Series F;$224;2023;39.73915;-104.9847
174;596;Project44;Chicago;USA;North America;130.0;2023-05-26;10.0;1300.0;1170.0;Logistics;Unknown;$817;2023;41.85003;-87.65005
175;599;Airmeet;Bengaluru;India;Asia;75.0;2023-05-25;30.0;250.0;175.0;Marketing;Series B;$50;2023;12.97194;77.59369
176;602;Guild;Denver;USA;North America;172.0;2023-05-24;12.0;1433.0;1261.0;Education;Series F;$643;2023;39.73915;-104.9847
177;604;Flink;Berlin;Germany;Europe;100.0;2023-05-24;16.0;625.0;525.0;Food;Series B;$1000;2023;52.52437;13.41053
178;605;Western Digital;Kfar Saba;Israel;Asia;60.0;2023-05-24;7.0;857.0;797.0;Hardware;Post-IPO;$900;2023;32.175;34.90694
179;618;Pie Insurance;Washington DC;USA;North America;63.0;2023-05-18;14.0;450.0;387.0;Finance;Series D;$621;2023;38.89511;-77.03637
180;624;Stash;New York City;USA;North America;40.0;2023-05-17;10.0;400.0;360.0;Finance;Unknown;$480;2023;40.71427;-74.00597
181;627;Zepz;London;United Kingdom;Europe;420.0;2023-05-16;26.0;1615.0;1195.0;Finance;Series E;$700;2023;51.50853;-0.12574
182;628;Lemonade;New York City;USA;North America;45.0;2023-05-16;3.0;1500.0;1455.0;Finance;Post-IPO;$481;2023;40.71427;-74.00597
183;632;Nuro;San Francisco Bay Area;USA;North America;340.0;2023-05-12;30.0;1133.0;793.0;Transportation;Series D;$2100;2023;37.38605;-122.08385
184;634;Happay;Bengaluru;India;Asia;160.0;2023-05-12;35.0;457.0;297.0;Finance;Acquired;$21;2023;12.97194;77.59369
